YEARQ,IDHH,ICPSR,PANEL_ROT_GROUP,URBANICITY,LIV_TYPE,UNITS,OUTSIDE,GATED,RESTRICTED,INCOME,RACE_HOH,PRINCIPAL_REL,PRINCIPAL_AGE,PRINCIPAL_MARITAL,PRINCIPAL_SEX,PRINCIPAL_ARMFOR,PRINCIPAL_ED,PRINCIPAL_RACE,PRINCIPAL_HISP,REF_AGE,REF_MARITAL,REF_SEX,REF_ARMFOR,REF_ED,REF_RACE,REF_HISP,NUM_OVER12,NUM_UNDER12,NUM_REPORT,BUSINESS,BUSINESS_SIGN,BROKEN_IN,NUM_BROKEN_IN,NUM_VEHICLE,VEHICLE_THEFT,NUM_VEHICLE_THEFT,COLLEGE,PUBLIC,INDIAN_RES,FAMILY_STRUCTURE,REGION,PRINCIPAL_SCHOOL,REF_SCHOOL,REF_REL,AGE,MARITAL,SEX,ARMFOR,ED,RACE,HISP,STOLEN,NUM_STOLEN,ATTACK_LOC,WEAPON,NUM_WEAPON,OFFENDER_KNOWN,NUM_OFFENDER_KNOWN,FORCED_SEX,NUM_FORCED_SEX,POLICE,NO_POLICE,DIS_HEAR,DIS_VIS,DIS_LEARN,DIS_PHYS,DIS_DRESS_BATHE,DIS_LEAVING_HOME,CITIZENSHIP,SEXUAL_ORIENTATION,ACTIVE_DUTY,JOB_WEEK,JOB_6MO,JOB_2WEEK,JOB,EMP_TYPE,JOB_LOC,JOB_COLLEGE,ATT_COLLEGE,NUM_INCIDENTS
2020.1,1.60262E+24,3,11,2,1,1,9,2,2,12,99,11,54,3,2,2,41,1,2,54,3,2,2,41,1,2,1,0,1,2,9,2,999,1,2,999,2,9,2,32,4,4,4,11,54,3,2,2,41,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.60263E+24,10,37,1,1,1,9,2,2,15,99,2,49,1,2,2,40,1,2,50,1,1,2,28,1,2,4,0,2,2,9,2,999,3,1,1,2,9,2,1,4,2,4,2,49,1,2,2,40,1,2,1,1,2,2,999,2,999,2,999,2,2,8,8,8,8,8,8,1,2,1,1,9,9,98,8,8,8,2,2
2020.1,1.60263E+24,10,37,1,1,1,9,2,2,15,99,2,49,1,2,2,40,1,2,50,1,1,2,28,1,2,4,0,2,2,9,2,999,3,1,1,2,9,2,1,4,2,4,2,49,1,2,2,40,1,2,1,1,2,2,999,2,999,2,999,2,2,8,8,8,8,8,8,1,2,1,1,9,9,98,8,8,8,2,2
2020.1,1.60264E+24,2,17,2,1,1,9,2,2,13,99,11,31,5,2,2,42,2,2,31,5,2,2,42,2,2,1,0,1,2,9,2,999,2,2,999,2,9,2,32,3,4,4,11,31,5,2,2,42,2,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,6,1,1,9,9,27,1,1,2,4,1
2020.1,1.60264E+24,4,11,2,1,1,9,2,2,16,99,11,41,1,2,2,40,1,2,41,1,2,2,40,1,2,3,1,1,2,9,2,999,2,2,999,2,9,2,20,2,4,4,1,57,1,1,2,42,1,2,2,999,2,1,1,2,999,2,999,1,2,2,2,2,2,2,2,1,2,1,1,9,9,27,4,1,2,4,1
2020.1,1.60264E+24,7,17,2,1,2,1,2,2,13,99,11,42,1,2,2,41,1,2,42,1,2,2,41,1,2,4,0,1,2,9,2,999,2,2,999,2,2,2,25,2,4,4,3,14,5,1,9,8,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,9,1,9,9,9,9,9,99,9,9,9,0,1
2020.1,1.6027E+24,10,37,2,1,5,2,2,2,12,99,2,43,1,2,2,43,1,2,43,1,1,2,42,1,2,2,0,3,2,9,2,999,1,2,999,2,2,2,8,3,4,4,2,43,1,2,2,43,1,2,1,3,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,2,2,9,99,9,9,9,4,3
2020.1,1.6027E+24,10,37,2,1,5,2,2,2,12,99,2,43,1,2,2,43,1,2,43,1,1,2,42,1,2,2,0,3,2,9,2,999,1,2,999,2,2,2,8,3,4,4,2,43,1,2,2,43,1,2,1,3,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,2,2,9,99,9,9,9,4,3
2020.1,1.6027E+24,10,37,2,1,5,2,2,2,12,99,2,43,1,2,2,43,1,2,43,1,1,2,42,1,2,2,0,3,2,9,2,999,1,2,999,2,2,2,8,3,4,4,2,43,1,2,2,43,1,2,1,3,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,2,2,9,99,9,9,9,4,3
2020.1,1.60271E+24,1,11,2,1,1,9,2,2,16,99,11,48,1,2,2,43,1,2,48,1,2,2,43,1,2,6,1,2,1,2,2,999,3,2,999,2,9,2,20,4,4,4,4,18,5,2,2,11,2,2,2,999,2,2,999,2,999,2,999,1,2,2,2,1,2,2,1,1,2,1,1,9,9,8,1,4,2,4,1
